Z0.8r,Z0.8k,Z0.8y,Z0.8P,Z0.95r,Z0.95k,Z0.95y,Z0.95P,P0.8r,P0.8k,P0.8y,P0.8P,P0.95r,P0.95k,P0.95y,P0.95P
0.033442,1.2444,0.47291,1.072,0.033486,0.83885,0.39286,1.3206,0.033442,1.2444,0.47291,1.072,0.033486,0.83885,0.39286,1.3206
0.035376,1.2444,0.48168,1.0736,0.035378,0.83885,0.4,1.3225,0.02901,1.2444,0.46828,1.1046,0.028979,0.83885,0.38875,1.3608
0.034689,1.2493,0.48126,1.0748,0.034662,0.84215,0.39963,1.3243,0.030296,1.2381,0.46858,1.098,0.029797,0.83262,0.38817,1.3587
0.034167,1.2528,0.48081,1.0757,0.034099,0.84435,0.39919,1.326,0.031276,1.234,0.46891,1.0928,0.03049,0.82766,0.38774,1.3568
0.033774,1.2552,0.48035,1.0763,0.033662,0.84569,0.39872,1.3274,0.032014,1.2315,0.46925,1.0886,0.031075,0.82376,0.38743,1.355
0.033481,1.2568,0.47989,1.0767,0.033328,0.84636,0.39822,1.3286,0.032563,1.2301,0.4696,1.0852,0.031567,0.82073,0.38722,1.3532
0.033267,1.2578,0.47943,1.0769,0.033077,0.84651,0.39771,1.3296,0.032965,1.2296,0.46993,1.0826,0.03198,0.81844,0.38709,1.3516
0.033112,1.2583,0.47899,1.077,0.032893,0.84626,0.3972,1.3304,0.033255,1.2297,0.47024,1.0805,0.032325,0.81674,0.38703,1.35
0.033005,1.2584,0.47857,1.0769,0.032762,0.84574,0.3967,1.3311,0.033458,1.2302,0.47053,1.0788,0.032613,0.81555,0.38703,1.3485
0.032933,1.2582,0.47817,1.0768,0.032675,0.845,0.39622,1.3317,0.033597,1.231,0.4708,1.0774,0.032852,0.81476,0.38707,1.3471
0.032889,1.2579,0.47779,1.0767,0.032623,0.84413,0.39576,1.3321,0.033687,1.2319,0.47104,1.0763,0.033049,0.81431,0.38715,1.3458
0.032866,1.2574,0.47743,1.0765,0.032597,0.84317,0.39533,1.3325,0.033742,1.2328,0.47127,1.0754,0.033211,0.81414,0.38726,1.3445
0.032858,1.2569,0.47709,1.0763,0.032593,0.84217,0.39492,1.3328,0.03377,1.2339,0.47147,1.0748,0.033344,0.81418,0.38738,1.3433
0.032862,1.2563,0.47678,1.0761,0.032605,0.84115,0.39454,1.3329,0.03378,1.2349,0.47165,1.0742,0.033452,0.81441,0.38753,1.3421
0.032874,1.2556,0.47649,1.0758,0.03263,0.84015,0.39419,1.333,0.033776,1.2358,0.47181,1.0738,0.033539,0.81477,0.38768,1.3411
0.032892,1.255,0.47621,1.0756,0.032663,0.83918,0.39386,1.3331,0.033764,1.2367,0.47195,1.0734,0.033609,0.81524,0.38785,1.34
